,x_coor,y_coor,frame
1314,443,204,186
1315,332,190,186
1316,475,147,186
1317,246,0,186
1318,370,282,187
1319,443,204,187
1320,333,190,187
1321,412,27,187
1322,246,0,187
1323,371,287,188
1324,328,260,188
1325,335,190,188
1326,378,151,188
1327,413,27,188
1328,246,0,188
1329,371,287,189
1330,337,205,189
1331,433,197,189
1332,336,190,189
1333,480,149,189
1334,246,0,189
1335,351,283,190
1336,378,283,190
1337,433,196,190
1338,413,27,190
1339,246,0,190
1340,352,283,191
1341,373,286,191
1342,378,284,191
1343,433,196,191
1344,330,191,191
1345,338,190,191
1346,350,82,191
1347,246,0,191
1348,353,282,192
1349,375,285,192
1350,373,280,192
1351,374,279,192
1352,433,196,192
1353,485,150,192
1354,413,26,192
1355,246,0,192
1356,376,284,193
1357,433,196,193
1358,333,191,193
1359,341,190,193
1360,413,26,193
1361,246,0,193
1362,379,283,194
1363,381,282,194
1364,433,196,194
1365,342,190,194
1366,414,26,194
1367,246,0,194
1368,419,357,195
1369,315,260,195
1370,432,195,195
1371,344,191,195
1372,381,148,195
1373,414,26,195
1374,246,0,195
1375,383,281,196
1376,440,202,196
1377,431,195,196
1378,338,192,196
1379,345,191,196
1380,494,152,196
1381,415,26,196
1382,246,0,196
1383,384,277,197
1384,329,263,197
1385,345,191,197
1386,355,84,197
1387,246,0,197
1388,357,285,198
1389,381,281,198
1390,379,280,198
1391,380,274,198
1392,314,261,198
1393,430,193,198
1394,346,191,198
1395,356,84,198
1396,416,26,198
1397,246,0,198
1398,570,273,199
1399,382,278,199
1400,386,276,199
1401,429,194,199
1402,357,83,199
1403,246,0,199
1404,358,285,200
1405,387,275,200
1406,40,242,200
1407,428,194,200
1408,358,84,200
1409,417,26,200
1410,246,0,200
1411,258,288,201
1412,328,258,201
1413,384,147,201
1414,359,84,201
1415,246,0,201
1416,426,193,202
1417,360,85,202
1418,387,277,203
1419,389,274,203
1420,40,242,203
1421,426,192,203
1422,361,85,203
1423,247,0,203
1424,386,275,204
1425,391,273,204
1426,387,269,204
1427,425,192,204
1428,361,85,204
1429,247,0,204
1430,388,276,205
1431,387,269,205
1432,424,192,205
1433,362,85,205
1434,419,26,205
1435,247,0,205
1436,388,275,206
1437,390,268,206
1438,328,256,206
1439,423,192,206
1440,356,187,206
1441,509,153,206
1442,364,84,206
1443,391,274,207
1444,359,183,207
1445,365,84,207
1446,420,26,207
1447,248,0,207
1448,261,288,208
1449,575,277,208
1450,352,192,208
1451,361,177,208
1452,366,84,208
1453,248,0,208
1454,334,405,209
1455,395,269,209
1456,364,173,209
1457,366,85,209
1458,249,0,209
1459,334,405,210
1460,368,283,210
1461,485,262,210
1462,367,168,210
1463,391,143,210
1464,422,26,210
1465,249,0,210
1466,481,267,211
1467,396,268,211
1468,391,265,211
1469,355,193,211
1470,369,164,211
1471,367,83,211
1472,426,44,211
1473,250,0,211
1474,368,284,212
1475,393,272,212
1476,394,271,212
1477,396,267,212
1478,392,265,212
1479,372,159,212
1480,368,83,212
1481,423,26,212
1482,250,0,212
1483,334,405,213
1484,262,288,213
1485,578,278,213
1486,395,265,213
1487,419,192,213
1488,354,190,213
1489,375,155,213
1490,368,84,213
1491,433,42,213
1492,251,0,213
1493,334,405,214
1494,393,270,214
1495,377,151,214
1496,423,26,214
1497,251,0,214
1498,263,288,215
1499,391,270,215
1500,396,264,215
1501,358,193,215
1502,425,26,215
1503,395,270,216
1504,382,142,216
1505,369,84,216
1506,419,43,216
1507,252,0,216
1508,265,286,217
1509,399,265,217
1510,570,203,217
1511,419,190,217
1512,434,41,217
1513,425,25,217
1514,370,282,218
1515,397,269,218
1516,419,190,218
1517,253,0,218
1518,435,353,219
1519,489,261,219
1520,394,263,219
1521,419,188,219
1522,370,82,219
1523,432,41,219
1524,426,25,219
1525,253,0,219
1526,489,261,220
1527,396,269,220
1528,400,264,220
1529,357,189,220
1530,420,188,220
1531,254,0,220
1532,267,285,221
1533,254,0,221
1534,398,268,222
1535,359,190,222
1536,370,80,222
1537,565,295,223
1538,559,295,223
1539,397,268,223
1540,401,264,223
1541,430,195,223
1542,422,191,223
1543,358,188,223
1544,427,24,223
1545,255,0,223
1546,267,284,224
1547,398,268,224
1548,399,261,224
1549,256,0,224
1550,372,277,225
1551,489,261,225
1552,397,267,225
1553,401,266,225
1554,323,239,225
1555,370,79,225
1556,430,41,225
1557,436,39,225
1558,256,0,225
1559,39,241,226
1560,369,78,226
1561,257,0,226
1562,541,150,227
1563,428,23,227
1564,258,0,227
1565,269,283,228
1566,399,267,228
1567,400,260,228
1568,542,151,228
1569,424,40,228
1570,428,24,228
1571,258,0,228
1572,398,266,229
1573,545,150,229
1574,428,22,229
1575,259,0,229
1576,399,266,230
1577,401,260,230
1578,259,0,230
1579,492,257,231
1580,401,265,231
1581,401,259,231
1582,547,150,231
1583,406,136,231
1584,260,0,231
1585,375,273,232
1586,492,257,232
1587,398,265,232
1588,399,259,232
1589,530,195,232
1590,425,39,232
1591,429,21,232
1592,260,0,232
1593,404,261,233
1594,402,259,233
1595,367,74,233
1596,432,39,233
1597,429,21,233
1598,402,265,234
1599,366,75,234
1600,419,34,234
1601,261,0,234
1602,401,265,235
1603,329,246,235
1604,366,74,235
1605,430,20,235
1606,261,0,235
1607,273,281,236
1608,405,260,236
1609,436,177,236
1610,366,74,236
1611,262,0,236
1612,375,269,237
1613,553,147,237
1614,414,135,237
1615,262,0,237
1616,566,281,238
1617,406,258,238
1618,319,235,238
1619,421,62,238
1620,420,33,238
1621,263,0,238
1622,456,336,239
1623,406,259,239
1624,401,257,239
1625,553,147,239
1626,263,0,239
1627,376,267,240
1628,404,263,240
1629,555,147,240
1630,430,19,240
1631,264,0,240
1632,407,258,241
1633,406,256,241
1634,329,242,241
1635,556,146,241
1636,425,53,241
1637,427,39,241
1638,421,39,241
1639,434,37,241
1640,424,33,241
1641,431,19,241
1642,265,0,241
1643,542,185,242
1644,555,146,242
1645,426,50,242
1646,431,19,242
